date,LOC_cabinet,LOC_drawer,LOC_tray,LOC_locality,LOC_unit,LOC_subunit,LOC_age,TIME_idRehouse,TIME_count,TIME_paint,TIME_catalog,TIME_labels,TIME_number,LOTS_st,LOTS_tx,LOTS_uncataloged,ID_genusChange,ID_speciesChange,ID_sp,ID_rank-up,ID_rank-down,ID_new,REHOUSE_box3x1.5,REHOUSE_box3x3,REHOUSE_box3x4,REHOUSE_box3x6,REHOUSE_box4x6,REHOUSE_box6x6,REHOUSE_plastic3x3,REHOUSE_plastic6x6,REHOUSE_vial7dr,REHOUSE_vial3dr,REHOUSE_vial1dr
2018-04-05,201,10,1 of 3,"28712, 10106",Ladd,,Turonian,0.04,,,0.08,0.016,,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-04-05,201,10,2 of 3,"16644, 16645",Ladd,,Turonian,0.5,,0.1,0.32,0.17,0.04,26,0,0,1,0,0,5,2,1,0,1,0,0,0,0,0,0,7,0,7
2018-04-06,201,11,1 of 3,10893,Ladd,,Turonian,0.6,,0.16,0.5,0.33,0.25,39,0,0,0,0,0,1,2,9,0,1,0,0,1,0,0,0,16,0,5
2018-04-07,201,11,2 of 3,10873,Ladd,,Turonian,0.6,,0.4,0.18,0.15,0.1,24,1,1,1,0,0,2,1,0,1,0,0,0,0,0,0,0,9,0,10
2018-04-07,201,11,3 of 3,10100,Ladd,,Turonian,0.6,,0.22,0.48,0.33,0.1,47,2,0,3,1,0,2,4,14,2,1,1,1,0,0,0,0,17,0,6
2018-04-11,201,12,1 of 3,10099,Ladd,,Turonian,0.25,,0.1,0.25,0.07,0.03,12,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,5,0,2
2018-04-11,201,12,2 of 3,26980,Ladd,,Turonian,0.6,,0.03,0.2,0.08,0.08,20,0,0,1,0,0,5,1,2,0,0,0,0,0,0,0,0,9,0,0
2018-04-11,201,12,3 of 3,10098,Ladd,,Turonian,0.33,,0.03,0.4,0.1,0.03,19,2,0,0,0,0,1,0,2,0,1,0,1,0,0,0,0,3,0,1
2018-02-02,202,01,1 of 4,"10950, 10951, 10949",Ladd,Baker Canyon,Turonian,2.0,,,0.48,0.25,0.07,25,2,0,0,0,0,1,1,3,1,2,0,1,0,0,0,0,8,0,0
2018-02-02,202,01,2 of 4,"10948, 10949",Ladd,,Turonian,1.0,,0.02,0.48,0.09,0.1,21,0,0,0,0,0,1,2,0,0,0,0,1,1,0,0,0,11,0,2
