date,LOC_cabinet,LOC_drawer,LOC_tray,LOC_locality,LOC_unit,LOC_subunit,LOC_age,minutesTotal,minutesPerIDRehouse,minutesPerCount,minutesPerPaint,minutesPerCatalog,minutesPerLabels,minutesPerNumber,lotsProcessed,lotsRehoused,lotsIdentified,lotsReidentified
2018-12-18,228,02,1 of 4,10837,Chico,,"Coniacian, Santonian, Campanian",1.83,1.9,NA,0.6,0.6,0.2,0.1,31,20,28,0
2018-12-18,228,02,2 of 4,"10835, 10834",Chico,,"Coniacian, Santonian, Campanian",1.77,1.4,NA,0.2,0.9,0.2,0.2,37,28,20,6
2018-12-18,228,02,3 of 4,10835,Chico,,"Coniacian, Santonian, Campanian",1.58,1.4,NA,0.5,1.1,0.2,0.2,28,18,13,7
2018-12-18,228,02,4 of 4,10834,Chico,,"Coniacian, Santonian, Campanian",1.38,1.3,NA,0.4,0.9,0.2,0.3,26,21,8,9
2018-12-19,228,03,1 of 4,10836,Chico,,"Coniacian, Santonian, Campanian",0.44,2.8,NA,NA,0.7,0.3,NA,7,3,0,0
2018-12-19,228,03,2 of 4,24224,Chico,,"Coniacian, Santonian, Campanian",1.67,1.9,NA,0.8,0.8,0.2,0.2,26,18,20,2
2018-12-19,228,03,3 of 4,10836,Chico,,"Coniacian, Santonian, Campanian",1.48,1.1,NA,0.2,0.5,0.2,0.2,40,33,36,0
2018-12-19,228,03,4 of 4,24224,Chico,,"Coniacian, Santonian, Campanian",0.88,0.8,NA,0.1,0.2,0.2,0.1,36,14,26,0
2018-12-19,228,04,1 of 2,26046,Chico,,Campanian,0.86,1.7,NA,NA,0.4,0.1,NA,23,0,23,0
2018-12-19,228,04,1 of 2,26046,Chico,,Campanian,0.76,0.4,NA,NA,0.4,0.1,NA,45,0,45,0
2018-12-19,228,05,1 of 2,26046,Chico,,Campanian,0.26,0.9,NA,NA,0.5,0.2,NA,10,0,10,0
2018-12-19,228,05,2 of 2,26046,Chico,,Campanian,1.04,1,NA,0.1,0.4,0.2,0.1,35,11,31,0
2018-12-19,228,06,1 of 2,26045,Chico,,"Coniacian, Campanian",0.5,1,NA,NA,0.3,0.2,NA,19,0,19,0
2018-12-19,228,06,2 of 2,26045,Chico,,"Coniacian, Campanian",0.64,0.9,NA,0.1,0.4,0.3,0.1,22,4,22,0
2018-12-13,228,07,1 of 4,23637,Chico,,"Santonian, Campanian",1.07,1.2,NA,NA,0.6,0.2,NA,32,0,32,0
2018-12-13,228,07,2 of 4,23637,Chico,,"Santonian, Campanian",1.3099999999999998,0.9,NA,NA,0.9,0.2,NA,39,0,39,0
2018-12-13,228,07,3 of 4,23697,Chico,,"Santonian, Campanian",1.18,0.8,NA,NA,0.7,0.2,NA,41,0,41,0
2018-12-13,228,07,4 of 4,23637,Chico,,"Santonian, Campanian",1.01,1.6,NA,NA,0.9,0.3,NA,22,0,22,0
2018-12-13,228,08,1 of 3,23637,Chico,,"Santonian, Campanian",0.88,1.8,NA,NA,0.8,0.3,NA,18,0,18,0
2018-12-13,228,08,1 of 3,23637,Chico,,"Santonian, Campanian",0.85,1.2,NA,NA,0.6,0.2,NA,24,0,24,0
2018-12-07,228,09,1 of 4,23637,Chico,,"Santonian, Campanian",3.12,1.5,NA,1.5,1,1.9,0.2,31,32,7,3
2018-12-07,228,09,1 of 4,23637,Chico,,"Santonian, Campanian",2.64,1.6,NA,1.1,1.1,2.4,0.2,25,18,3,11
2018-12-07,228,09,1 of 4,"23637, 23636",Chico,,"Santonian, Campanian",3.2199999999999998,1.4,NA,1.1,1,1.7,0.2,35,29,0,0
2018-12-05,228,09,1 of 4,23636,Chico,,"Santonian, Campanian",2.66,1,NA,0.4,0.9,1.6,0.2,38,28,11,5
2018-12-08,228,10,1 of 4,"23639, 23640",Chico,,"Santonian, Campanian",2.87,1.6,NA,1.8,1.3,0.2,0.2,34,36,3,7
